name,nbhd,address,type,open_year,rooms
THE INN AT ST. BOTOLPH,BACK BAY,99 SAINT BOTOLPH STREET,UPPER MIDSCALE,2008,16
THE LANGHAM BOSTON,DOWNTOWN,250 FRANKLIN STREET,LUXURY,1981,318
THE LENOX HOTEL,BACK BAY,61 EXETER STREET,UPPER UPSCALE,1900,214
THE LIBERTY HOTEL,WEST END,215 CHARLES STREET,LUXURY,2007,298
THE MIDTOWN HOTEL,BACK BAY,220 HUNTINGTON AVENUE,UPPER MIDSCALE,1961,159
"THE RITZ-CARLTON, BOSTON COMMON",DOWNTOWN,10 AVERY STREET,LUXURY,2001,193
THE WESTIN BOSTON WATERFRONT,SOUTH BOSTON WATERFRONT,425 SUMMER STREET,UPPER UPSCALE,2006,793
THE WESTIN COPLEY PLACE,BACK BAY,10 HUNTINGTON AVENUE,UPPER UPSCALE,1984,803
W BOSTON HOTEL AND RESIDENCES,DOWNTOWN,100 STUART STREET,LUXURY,2009,235
WYNDHAM BOSTON BEACON HILL,WEST END,5 BLOSSOM STREET,UPPER UPSCALE,1968,304
XV BEACON HOTEL,DOWNTOWN,15 BEACON STREET,LUXURY,1999,63
40 Berkeley,South End,40 Berkeley St,Lodging House/Motel,,100
Abercrombie's Farrington Inn,Allston,23 Farrington Ave,Lodging House/Motel,,50
Best Western University Hotel Brighton,Brighton,1650 Commonwealth Ave,Lodging House/Motel,,74
Boston Yacht Haven,Downtown,87 Commercial Wharf,Lodging House/Motel,,10
Chandler Studios Boston,South End,54 Berkeley St,Lodging House/Motel,,12
Commonwealth Court Guest House,Back Bay,284 Commonwealth Ave,Lodging House/Motel,,17
Copley House,Back Bay,239 W Newton St,Lodging House/Motel,,39
Friend Street Hostel,West End,234 Friend St,Lodging House/Motel,,48
International Guest House,Back Bay,237 Beacon St,Lodging House/Motel,,
Mariners House,North End,11 North Sq,Lodging House/Motel,,
Marriott's Custom House,Downtown,3 McKinley Sq,Lodging House/Motel,,84
Milner Hotel,Beacon Hill,78 Charles St,Lodging House/Motel,,64
Oasis Guest House,Fenway,22 Edgerly Rd,Lodging House/Motel,,16
The College Club of Boston,Back Bay,44 Commonwealth Ave,Lodging House/Motel,,11
The Copley Inn,Back Bay,19 Garrison St,Lodging House/Motel,,20
Adams Bed & Breakfast,Fenway,"14 Edgerly Rd,",Bed and Breakfast,,
Aisling Bed and Breakfast,South End,21 East Concord St,Bed and Breakfast,,3
Beacon Hill Bed and Breakfast,Beacon Hill,27 Brimmer St,Bed and Breakfast,,2
Bunker Hill Bed And Breakfast,Charlestown,80 Elm St,Bed and Breakfast,,2
Clarendon Square Bed and Breakfast,South End,198 W. Brookline St,Bed and Breakfast,,3
Constitution Marina's Bed & Breakfast Afloat,Charlestown,28 Constitution Road,Bed and Breakfast,,8
Encore Bed and Breakfast,South End,116 W Newton St,Bed and Breakfast,,4
Green Turtle Inn,Charlestown,Pier 8 13th St,Bed and Breakfast,,6
John Jeffries House,Beacon Hill,14 David G Mugar Way,Bed and Breakfast,,46
La Cappella Suites,North End,290 North St,Bed and Breakfast,,4
Nolan House,South Boston,10 G Street,Bed and Breakfast,,3
Rutland Square House,South End,56 Rutland Square,Bed and Breakfast,,3
Taylor House,Jamaica Plain,50 Burroughs St,Bed and Breakfast,,3
The Gilded Lily,Back Bay,4 Claremont Park,Bed and Breakfast,,3
The Gryphon House,Fenway,9 Bay State Rd,Bed and Breakfast,,8
The Herbert Carruth House,Dorchester,30 Beaumont St,Bed and Breakfast,,4
Yun's Place,Allston,66 Hopedale Street,Bed and Breakfast,,2
